timestamp,temperatura,pH ,conductividad,TDS,Sal.[psu],Press.[psi],DO_mgL
2021-11-17 18:42:10,17.52,5.55,655,0.327,0.32,10.793,3.96
2021-11-17 18:42:15,17.52,5.55,655,0.327,0.32,10.792,3.96
2021-11-17 18:42:20,17.52,5.55,655,0.327,0.32,10.7909999999999,3.98
2021-11-17 18:42:25,17.52,5.55,655,0.327,0.32,10.793,4.0
2021-11-17 18:42:30,17.52,5.55,654,0.327,0.32,10.7909999999999,4.0
2021-11-17 18:42:35,17.51,5.55,654,0.327,0.32,10.793,4.01
2021-11-17 18:42:40,17.51,5.55,655,0.327,0.32,10.792,4.04
2021-11-17 18:42:45,17.51,5.55,655,0.327,0.32,10.79,4.03
2021-11-17 18:42:50,17.51,5.55,655,0.327,0.32,10.7909999999999,4.02
2021-11-17 18:42:55,17.51,5.55,655,0.327,0.32,10.79,4.0
2021-11-17 18:43:00,17.51,5.55,655,0.327,0.32,10.7909999999999,3.99
2021-11-17 18:43:05,17.51,5.55,655,0.327,0.32,10.792,3.99
2021-11-17 18:43:10,17.51,5.55,654,0.327,0.32,10.792,4.04
2021-11-17 18:43:15,17.51,5.55,655,0.327,0.32,10.793,4.16
2021-11-17 18:43:20,17.51,5.55,655,0.327,0.32,10.793,4.21
2021-11-17 18:43:25,17.51,5.55,655,0.327,0.32,10.792,4.17
2021-11-17 18:43:30,17.51,5.55,655,0.327,0.32,10.792,4.14
2021-11-17 18:43:35,17.51,5.55,655,0.327,0.32,10.79,4.16
2021-11-17 18:43:40,17.51,5.55,655,0.327,0.32,10.792,4.15
2021-11-17 18:43:45,17.51,5.55,655,0.327,0.32,10.7909999999999,4.12
2021-11-17 18:43:50,17.51,5.55,655,0.327,0.32,10.789,4.08
2021-11-17 18:43:55,17.51,5.55,655,0.327,0.32,10.79,4.05
2021-11-17 18:44:00,17.51,5.55,655,0.327,0.32,10.788,4.09
2021-11-17 18:44:05,17.51,5.55,655,0.327,0.32,10.7909999999999,4.13
2021-11-17 18:44:10,17.51,5.55,655,0.327,0.32,10.79,4.12
2021-11-17 18:44:15,17.51,5.55,655,0.327,0.32,10.79,4.13
